Назва,Кількість спеціалістів 2023,Кількість технічних спеціалістів 2023,Зміна загальної кількості в порівнянні з 2022,% технічних,% зростання,Розташування головного офісу в Україні(де працює більше людей)
Epam,10230,9300,-1145,0.9090909090000001,-0.111925709,1
SoftServe,8326,6356,-1124,0.763391785,-0.134998799,1
GlobalLogic,6560,6140,-375,0.93597561,-0.057164634000000006,1
Evoplay,4011,2337,-200,0.582647719,-0.049862877,1
Luxoft,3700,3000,-100,0.810810811,-0.027027027000000002,1
Ajax Systems,2899,818,119,0.282166264,0.041048637,1
Ciklum,2650,2310,-152,0.871698113,-0.057358491,1
Intellias,2560,2065,-143,0.806640625,-0.055859375,1
DataArt,2500,2150,-250,0.86,-0.1,1
ZONE3000,2375,2232,32,0.939789474,0.013473684,3
Genesis,2278,1019,172,0.44732221200000005,0.07550482900000001,1
NIX,2000,1800,-500,0.9,-0.25,3
Sigma Software,1890,1410,-10,0.746031746,-0.005291005,1
Infopulse,1876,1558,-209,0.830490405,-0.111407249,1
N-iX,1831,1587,-52,0.866739487,-0.028399782000000002,1
ELEKS,1682,1332,-98,0.791914388,-0.058263971,1
Playrix,1271,841,-2,0.661683714,-0.001573564,1
Avenga,1254,957,-54,0.763157895,-0.043062200999999994,1
Capgemini,1225,1116,-315,0.911020408,-0.257142857,1
Grid Dynamics,1200,1000,-374,0.833333333,-0.311666667,1
Netcracker,1100,965,-100,0.877272727,-0.090909091,1
AUTODOC,1043,555,-24,0.532118888,-0.023010547000000003,1
EVO,989,370,66,0.37411526799999995,0.066734075,1
ALLSTARSIT,974,870,31,0.893223819,0.031827515,1
Room 8 Group,967,727,-90,0.751809721,-0.093071355,1
Temabit Fozzy Group,945,580,-45,0.613756614,-0.047619048,1
SQUAD,941,860,-157,0.91392136,-0.166843783,1
Intecracy Group,891,834,98,0.936026936,0.109988777,1
GeeksForLess Inc.,860,750,0,0.872093023,0.0,1
Metinvest Digital,853,690,64,0.80890973,0.075029308,1
Netpeak Group,835,292,216,0.349700599,0.258682635,1
Plarium,826,677,-77,0.819612591,-0.093220339,1
Onseo,814,658,-15,0.808353808,-0.018427518,1
Astound Commerce,800,780,-80,0.975,-0.1,1
Playtech,781,749,20,0.9590268890000001,0.025608195,1
Ubisoft,780,742,-47,0.951282051,-0.06025641,1
Trinetix,780,685,4,0.878205128,0.005128205,1
TECHIA Holding,769,191,12,0.248374512,0.015604681,1
GR8 Tech,750,430,-808,0.573333333,-1.077333333,1
MEGOGO,729,227,30,0.31138546,0.041152263,1
Playtika,700,630,-150,0.9,-0.214285714,1
airSlate,679,626,-61,0.921944035,-0.08983799699999999,1
Innovecs,665,570,-140,0.857142857,-0.21052631600000002,1
Svitla Systems,658,545,-38,0.828267477,-0.05775076,1
ISD,650,600,-50,0.923076923,-0.076923077,2
Boosta,644,161,41,0.25,0.06366459599999999,1
Vivesen,638,479,33,0.7507836990000001,0.051724137999999996,1
Creatio,633,356,2,0.562401264,0.003159558,1
Gameloft,625,495,-16,0.792,-0.0256,3
AMC Bridge,617,517,-151,0.837925446,-0.24473257699999998,0
