Назва,Кількість спеціалістів 2023,Кількість технічних спеціалістів 2023,Зміна загальної кількості в порівнянні з 2022,% технічних,% зростання,Розташування головного офісу в Україні(де працює більше людей),Прибуток (приблизний)
Epam,10230,9300,-1145,0.909090909,-0.111925709,Київ,0
SoftServe,8326,6356,-1124,0.763391785,-0.134998799,Київ,0
GlobalLogic,6560,6140,-375,0.93597561,-0.057164634,Київ,0
Evoplay,4011,2337,-200,0.582647719,-0.049862877,Київ,0
Luxoft,3700,3000,-100,0.810810811,-0.027027027,Київ,0
Ajax Systems,2899,818,119,0.282166264,0.041048637,Київ,0
Ciklum,2650,2310,-152,0.871698113,-0.057358491,Київ,0
Intellias,2560,2065,-143,0.806640625,-0.055859375,Київ,0
DataArt,2500,2150,-250,0.86,-0.1,Київ,0
ZONE3000,2375,2232,32,0.939789474,0.013473684,Харків,0
Genesis,2278,1019,172,0.447322212,0.075504829,Київ,0
NIX,2000,1800,-500,0.9,-0.25,Харків,0
Sigma Software,1890,1410,-10,0.746031746,-0.005291005,Київ,0
Infopulse,1876,1558,-209,0.830490405,-0.111407249,Київ,0
N-iX,1831,1587,-52,0.866739487,-0.028399782,Київ,0
ELEKS,1682,1332,-98,0.791914388,-0.058263971,Київ,0
Playrix,1271,841,-2,0.661683714,-0.001573564,Київ,0
Avenga,1254,957,-54,0.763157895,-0.043062201,Київ,0
Capgemini,1225,1116,-315,0.911020408,-0.257142857,Київ,0
Grid Dynamics,1200,1000,-374,0.833333333,-0.311666667,Київ,0
Netcracker,1100,965,-100,0.877272727,-0.090909091,Київ,0
AUTODOC,1043,555,-24,0.532118888,-0.023010547,Київ,0
EVO,989,370,66,0.374115268,0.066734075,Київ,0
ALLSTARSIT,974,870,31,0.893223819,0.031827515,Київ,0
Room 8 Group,967,727,-90,0.751809721,-0.093071355,Київ,0
Temabit Fozzy Group,945,580,-45,0.613756614,-0.047619048,Київ,0
SQUAD,941,860,-157,0.91392136,-0.166843783,Київ,0
Intecracy Group,891,834,98,0.936026936,0.109988777,Київ,0
GeeksForLess Inc.,860,750,0,0.872093023,0,Київ,0
Metinvest Digital,853,690,64,0.80890973,0.075029308,Київ,0
Netpeak Group,835,292,216,0.349700599,0.258682635,Київ,0
Plarium,826,677,-77,0.819612591,-0.093220339,Київ,0
Onseo,814,658,-15,0.808353808,-0.018427518,Київ,0
Astound Commerce,800,780,-80,0.975,-0.1,Київ,0
Playtech,781,749,20,0.959026889,0.025608195,Київ,0
Ubisoft,780,742,-47,0.951282051,-0.06025641,Київ,0
Trinetix,780,685,4,0.878205128,0.005128205,Київ,0
TECHIA Holding,769,191,12,0.248374512,0.015604681,Київ,0
GR8 Tech,750,430,-808,0.573333333,-1.077333333,Київ,0
MEGOGO,729,227,30,0.31138546,0.041152263,Київ,0
Playtika,700,630,-150,0.9,-0.214285714,Київ,0
airSlate,679,626,-61,0.921944035,-0.089837997,Київ,0
Innovecs,665,570,-140,0.857142857,-0.210526316,Київ,0
Svitla Systems,658,545,-38,0.828267477,-0.05775076,Київ,0
ISD,650,600,-50,0.923076923,-0.076923077,Львів,0
Boosta,644,161,41,0.25,0.063664596,Київ,0
Vivesen,638,479,33,0.750783699,0.051724138,Київ,0
Creatio,633,356,2,0.562401264,0.003159558,Київ,0
Gameloft,625,495,-16,0.792,-0.0256,Харків,0
AMC Bridge,617,517,-151,0.837925446,-0.244732577,Дніпро,0
